name,province,latitude,longitude
Acquaformosa,CS,39.722780,16.090960
Acquappesa,CS,39.493425,15.954122
Acquaro,VV,38.555833,16.188056
Acri,CS,39.500000,16.383333
Africo,RC,38.050670,16.133200
Agnana Calabra,RC,38.300000,16.216667
Aiello Calabro,CS,39.116667,16.166667
Aieta,CS,39.933333,15.816667
Albi,CZ,39.016667,16.600000
Albidona,CS,39.924200,16.470000
Alessandria del C.,CS,39.958107,16.379488
Altilia,CS,39.130490,16.252700
Altomonte,CS,39.700000,16.133333
Amantea,CS,39.133200,16.074500
Amaroni,CZ,38.800000,16.450000
Amato,CZ,38.933333,16.466667
Amendolara,CS,39.950000,16.583333
Andali,CZ,39.016667,16.766667
Anoia,RC,38.433333,16.083333
Antonimina,RC,38.282480,16.158974
Aprigliano,CS,39.233333,16.350000
Ardore,RC,38.183333,16.166667
Arena,VV,38.562780,16.209910
Argusto,CZ,38.683333,16.433333
Badolato,CZ,38.566667,16.533333
Bagaladi,RC,38.033333,15.816667
Bagnara Calabra,RC,38.283333,15.816667
Belcastro,CZ,39.016667,16.783333
Belmonte Calabro,CS,39.166667,16.083333
Belsito,CS,39.176850,16.287450
Belvedere di Spinello,KR,39.206740,16.892330
Belvedere Marittimo,CS,39.616667,15.866667
Benestare,RC,38.183333,16.133333
Bianchi,CS,39.100000,16.416667
Bianco,RC,38.091700,16.151590
Bisignano,CS,39.507270,16.281060
Bivongi,RC,38.483333,16.450000
Bocchigliero,CS,39.416667,16.750000
Bonifati,CS,39.583333,15.900000
Borgia,CZ,38.826189,16.508800
Botricello,CZ,38.933333,16.850000
Bova,RC,37.994944,15.932389
Bova Marina,RC,37.933333,15.916667
Bovalino,RC,38.150000,16.166667
Brancaleone,RC,37.963889,16.101111
Briatico,VV,38.725980,16.032890
Brognaturo,VV,38.583325,16.386263
Bruzzano Zeffirio,RC,38.016667,16.083333
Buonvicino,CS,39.683333,15.883333
Caccuri,KR,39.233333,16.783333
Calanna,RC,38.183333,15.716667
Calopezzati,CS,39.566667,16.800000
Caloveto,CS,39.500000,16.766667
Camini,RC,38.433333,16.483333
Campana,CS,39.416667,16.816667
Campo Calabro,RC,38.216667,15.666667
Candidoni,RC,38.525916,16.028883
Canna,CS,40.100000,16.500000
Canolo,RC,38.316667,16.200000
Capistrano,VV,38.692106,16.289442
Caraffa del Bianco,RC,38.100000,16.083333
Caraffa di Catanzaro,CZ,38.883333,16.483333
Cardeto,RC,38.083333,15.766667
Cardinale,CZ,38.650000,16.383333
Careri,RC,38.183962,16.056233
Carfizzi,KR,39.306497,16.975925
Cariati,CS,39.496270,16.954950
Carlopoli,CZ,39.050000,16.450000
Carolei,CS,39.250000,16.216667
Carpanzano,CS,39.150000,16.300000
Casabona,KR,39.250000,16.950000
Casali del Manco,CS,39.291556,16.408611
Casignana,RC,38.116371,16.105100
Cassano all'Ionio,CS,39.783889,16.318889
Castelsilano,KR,39.266667,16.766667
Castiglione Cosentino,CS,39.350000,16.283333
Castrolibero,CS,39.316667,16.200000
Castroregio,CS,39.991667,16.483333
Castrovillari,CS,39.816667,16.200000
Catanzaro,CZ,38.830000,16.431600
Caulonia,RC,38.383333,16.416667
Celico,CS,39.372947,16.423984
Cellara,CS,39.216667,16.333333
Cenadi,CZ,38.716667,16.416667
Centrache,CZ,38.733333,16.433333
Cerchiara di Calabria,CS,39.866667,16.366667
Cerenzia,KR,39.250000,16.783333
Cerisano,CS,39.283333,16.183333
Cerva,CZ,39.016667,16.750000
Cervicati,CS,39.553322,16.172559
Cerzeto,CS,39.516667,16.116667
Cessaniti,VV,38.666667,16.033333
Cetraro,CS,39.500000,15.950000
Chiaravalle Centrale,CZ,38.683333,16.400000
Cicala,CZ,39.022190,16.486100
Ciminà,RC,38.250000,16.133333
Cinquefrondi,RC,38.416667,16.100000
Cirò,KR,39.383333,17.066667
