name,province,latitude,longitude
Abbadia Cerreto,LO,45.313056,9.595278
Abbadia Lariana,LC,45.900000,9.333333
Abbiategrasso,MI,45.400900,8.918500
Acquafredda,BS,45.306970,10.413430
Acquanegra Cremonese,CR,45.166667,9.883333
Acquanegra sul Chiese,MN,45.166667,10.433333
Adrara San Martino,BG,45.700000,9.950000
Adrara San Rocco,BG,45.714167,9.958333
Adro,BS,45.617900,9.962500
Agnadello,CR,45.450000,9.566667
Agnosine,BS,45.650000,10.350000
Agra,VA,46.034900,8.771600
Agrate Brianza,MO,45.578333,9.352222
Aicurzio,MO,45.633333,9.416667
Airuno,LC,45.750000,9.416667
Alagna,PV,45.166667,8.883333
Albairate,MI,45.416667,8.933333
Albano Sant'Alessandro,BG,45.685833,9.767778
Albaredo per San Marco,SO,46.102930,9.590460
Albavilla,CO,45.800000,9.183333
Albese con Cassano,CO,45.800000,9.166667
Albiate,MO,45.654466,9.251328
Albino,BG,45.760556,9.796944
Albiolo,CO,45.800000,8.933333
Albizzate,VA,45.716667,8.800000
Albonese,PV,45.291993,8.706428
Albosaggia,SO,46.150000,9.850000
Albuzzano,PV,45.183333,9.266667
Alfianello,BS,45.266667,10.150000
Algua,BG,45.826185,9.722152
Almè,BG,45.736944,9.615278
Almenno San Bartolomeo,BG,45.748889,9.579722
Almenno San Salvatore,BG,45.750000,9.587500
Alserio,CO,45.783333,9.200000
Alta Valle Intelvi,CO,45.984800,9.027100
Alzano Lombardo,BG,45.731667,9.728333
Alzate Brianza,CO,45.766667,9.183333
Ambivere,BG,45.717778,9.548611
Andalo Valtellino,SO,46.116667,9.466667
Anfo,BS,45.766667,10.500000
Angera,VA,45.766667,8.583333
Angolo Terme,BS,45.892222,10.148611
Annicco,CR,45.250000,9.883333
Annone di Brianza,LC,45.803889,9.331667
Antegnate,BG,45.485278,9.788889
Anzano del Parco,CO,45.766667,9.200000
Appiano Gentile,CO,45.738333,8.979722
Aprica,SO,46.150000,10.133333
Arcene,BG,45.576111,9.614167
Arcisate,VA,45.855271,8.867584
Arconate,MI,45.533333,8.850000
Arcore,MO,45.633333,9.316667
Ardenno,SO,46.166667,9.650000
Ardesio,BG,45.938056,9.930000
Arena Po,PV,45.084157,9.385766
Arese,MI,45.550000,9.078333
Argegno,CO,45.943333,9.128333
Arluno,MI,45.500000,8.933333
Arosio,CO,45.716667,9.216667
Arsago Seprio,VA,45.683333,8.733333
Artogne,BS,45.850556,10.161944
Arzago d'Adda,BG,45.481944,9.563333
Asola,MN,45.216667,10.416667
Assago,MI,45.400000,9.133333
Asso,CO,45.861299,9.269451
Averara,BG,45.988889,9.631389
Aviatico,BG,45.800556,9.771111
Azzanello,CR,45.312869,9.921597
Azzano Mella,BS,45.450000,10.116667
Azzano San Paolo,BG,45.660556,9.675556
Azzate,VA,45.780300,8.793800
Azzio,VA,45.883333,8.700000
Azzone,BG,45.978611,10.111944
Badia Pavese,PV,45.116667,9.466667
Bagnaria,PV,44.833333,9.116667
Bagnatica,BG,45.661944,9.781111
Bagnolo Cremasco,CR,45.364730,9.610552
Bagnolo Mella,BS,45.430000,10.185400
Bagnolo San Vito,MN,45.083333,10.883333
Bagolino,BS,45.823100,10.463960
Ballabio,LC,45.900000,9.416667
Baranzate,MI,45.516667,9.100000
Barasso,VA,45.840400,8.756400
Barbariga,BS,45.400000,10.050000
Barbata,BG,45.456628,9.771380
Barbianello,PV,45.066667,9.200000
Bardello con Malgesso e Bregano,VA,45.824100,8.682200
Bareggio,MI,45.477988,8.998394
Barghe,BS,45.683333,10.400000
Bariano,BG,45.512580,9.703660
Barlassina,MO,45.656611,9.130000
Barni,CO,45.916667,9.266667
Barzago,LC,45.750000,9.316667
Barzana,BG,45.733889,9.567500
Barzanò,LC,45.733333,9.316667
Barzio,LC,45.950000,9.466667
Bascapè,PV,45.300000,9.316667
Basiano,MI,45.575000,9.469444
Basiglio,MI,45.350000,9.166667
Bassano Bresciano,BS,45.330556,10.127778
Bastida Pancarana,PV,45.098183,9.088542
Battuda,PV,45.271748,9.063647
Bedero Valcuvia,VA,45.913889,8.794444
Bedizzole,BS,45.516667,10.416667
Bedulita,BG,45.791389,9.551111
Belgioioso,PV,45.166667,9.316667
Bellagio,CO,45.987500,9.261944
Bellano,LC,46.043200,9.306100
Bellinzago Lombardo,MI,45.533333,9.450000
Bellusco,MO,45.616667,9.416667
Bema,SO,46.078767,9.589200
Bene Lario,CO,46.033333,9.183333
Berbenno,BG,45.813611,9.568333
Berbenno di Valtellina,SO,46.166667,9.750000
Beregazzo con Figliaro,CO,45.781944,8.943333
Bereguardo,PV,45.250000,9.033333
Berga,BG,44.600156,9.117095
Berlingo,BS,45.502222,10.041389
Bernareggio,MO,45.645000,9.400000
Bernate Ticino,MI,45.483333,8.816667
Bertonico,LO,45.233889,9.669167
Berzo Demo,BS,46.093889,10.334444
Berzo Inferiore,BS,45.931667,10.280556
Berzo San Fermo,BG,45.719167,9.902778
Besana in Brianza,MO,45.700000,9.283333
Besano,VA,45.887140,8.902564
Besate,MI,45.316667,8.966667
Besnate,VA,45.700000,8.766667
Besozzo,VA,45.850000,8.666667
Biandronno,VA,45.816667,8.716667
Bianzano,BG,45.773889,9.919444
Bianzone,SO,46.183333,10.100000
Biassono,MO,45.630556,9.274444
Bienno,BS,45.936667,10.294167
Binago,CO,45.783333,8.916667
Binasco,MI,45.333333,9.100000
Bione,BS,45.666667,10.333333
Bisuschio,VA,45.866667,8.866667
Bizzarone,CO,45.833333,8.950000
Blello,BG,45.833333,9.583333
Blessagno,CO,45.966806,9.103366
Blevio,CO,45.833333,9.100000
Bodio Lomnago,VA,45.783333,8.750000
Boffalora d'Adda,LO,45.358494,9.494884
Boffalora sopra Ticino,MI,45.466667,8.833333
Bolgare,BG,45.634167,9.816944
Bollate,MI,45.550000,9.116667
Boltiere,BG,45.600000,9.583333
Bonate Sopra,BG,45.681944,9.558611
Bonate Sotto,BG,45.666667,9.561389
Bonemerse,CR,45.116667,10.083333
Bordolano,CR,45.293985,9.986710
Borgarello,PV,45.233333,9.133333
Borghetto Lodigiano,LO,45.215833,9.500278
Borgo di Terzo,BG,45.720833,9.893889
Borgo Mantovano,MN,45.057490,11.125470
Borgo Priolo,PV,44.966667,9.150000
Borgo San Giacomo,BS,45.347980,9.968170
Borgo San Giovanni,LO,45.278889,9.436111
Borgo San Siro,PV,45.242294,8.931870
Borgo Virgilio,MN,45.050000,10.750000
Borgocarbonara,MN,45.038056,11.223472
Borgoratto Mormorolo,PV,44.933333,9.200000
Borgosatollo,BS,45.476111,10.240000
Bormio,SO,46.469248,10.372171
Bornasco,PV,45.266566,9.217951
Borno,BS,45.946111,10.198889
Bosisio Parini,LC,45.800000,9.283333
Bosnasco,PV,45.056795,9.366785
Bossico,BG,45.827500,10.044722
Bottanuco,BG,45.639722,9.506389
Botticino,BS,45.533889,10.307778
Bovegno,BS,45.783333,10.266667
Bovezzo,BS,45.601603,10.249504
Bovisio-Masciago,MB,45.610000,9.149000
Bozzolo,MN,45.102474,10.483982
Bracca,BG,45.816667,9.716667
Brallo di Pregola,PV,44.733333,9.283333
Brandico,BS,45.450000,10.050000
Branzi,BG,46.005517,9.760000
Braone,BS,45.989444,10.342778
Brebbia,VA,45.833333,8.650000
Bregnano,CO,45.697222,9.061111
Brembate,BG,45.603800,9.555500
Brembate di Sopra,BG,45.717667,9.580647
Brembio,LO,45.215556,9.572500
Breme,PV,45.133333,8.633333
Brenna,CO,45.750000,9.183333
Breno,BS,45.958611,10.305556
Brenta,VA,45.900000,8.683333
Brescia,BS,45.779600,10.425900
Bressana Bottarone,PV,45.078070,9.131190
Bresso,MI,45.533333,9.183333
Brezzo di Bedero,VA,45.983333,8.716667
Brienno,CO,45.900000,9.133333
Brignano Gera d'Adda,BG,45.533333,9.633333
Brinzio,VA,45.888265,8.790127
Brione,BS,45.640286,10.155672
Briosco,MO,45.716667,9.233333
Brissago-Valtravaglia,VA,45.950600,8.740200
Brivio,LC,45.750000,9.450000
Broni,PV,45.061944,9.261111
Brugherio,MO,45.550833,9.301111
Brumano,BG,45.850000,9.500000
Brunate,CO,45.816667,9.100000
Brunello,VA,45.765833,8.796389
Brusaporto,BG,45.666667,9.766667
Brusimpiano,VA,45.950000,8.883333
Bubbiano,MI,45.327258,9.015097
Buccinasco,MI,45.416667,9.116667
Buglio in Monte,SO,46.183333,9.683333
Buguggiate,VA,45.786000,8.805000
Bulciago,LC,45.750000,9.283333
Bulgarograsso,CO,45.750000,9.000000
Burago di Molgora,MO,45.600000,9.383333
Buscate,MI,45.550000,8.816667
Busnago,MO,45.616667,9.466667
Bussero,MI,45.533333,9.366667
Busto Arsizio,VA,45.611958,8.851800
Busto Garolfo,MI,45.547778,8.886667
Cabiate,CO,45.675860,9.171229
Cadegliano-Viconago,VA,45.964645,8.830835
Cadorago,CO,45.716667,9.033333
Cadrezzate con Osmate,VA,45.800200,8.644400
Caglio,CO,45.871164,9.225175
Caino,BS,45.616667,10.316667
Caiolo,SO,46.150000,9.800000
Cairate,VA,45.683333,8.866667
Calcinate,BG,45.621200,9.800300
Calcinato,BS,45.458100,10.414600
Calcio,BG,45.508333,9.850833
Calco,LC,45.724662,9.426402
Calolziocorte,LC,45.800000,9.433333
Calusco d'Adda,BG,45.683333,9.483333
Calvagese della Riviera,BS,45.534167,10.442500
Calvatone,CR,45.133333,10.450000
Calvenzano,BG,45.495000,9.599444
Calvignano,PV,44.983333,9.166667
Calvignasco,MI,45.326400,9.026500
Calvisano,BS,45.348889,10.345833
Cambiago,MI,45.566667,9.416667
Camerata Cornello,BG,45.900000,9.650000
Camisano,CR,45.450000,9.750000
Campagnola Cremasca,CR,45.400000,9.666667
Camparada,MO,45.655977,9.319646
Campione d'Italia,CO,45.970833,8.970833
Campodolcino,SO,46.405100,9.353000
Campospinoso Albaredo,PV,45.099064,9.242463
Candia Lomellina,PV,45.183333,8.600000
Canegrate,MI,45.566667,8.933333
Canneto Pavese,PV,45.050000,9.283333
Canneto sull'Oglio,MN,45.150000,10.383333
Canonica d'Adda,BG,45.575278,9.538889
Cantello,VA,45.819650,8.894670
Cantù,CO,45.733333,9.133333
Canzo,CO,45.850000,9.266667
Capergnanica,CR,45.333333,9.650000
Capiago Intimiano,CO,45.766667,9.116667
Capizzone,BG,45.785556,9.566667
