name,province,latitude,longitude
Acqualagna,PU,43.616700,12.671200
Acquasanta Terme,AP,42.769200,13.409450
Acquaviva Picena,AP,42.944711,13.813550
Agugliano,AN,43.543439,13.386006
Altidona,FM,43.106839,13.794000
Amandola,FM,42.980100,13.357500
Anco,AN,41.729831,12.277870
Apecchio,PU,43.559050,12.418300
Apiro,MC,43.393064,13.130269
Appignano,MC,43.364131,13.346419
Appignano del Tronto,AP,42.899058,13.665989
Arcevia,AN,43.483333,12.939600
Arquata del Tronto,AP,42.772565,13.296643
Ascoli Piceno,AP,42.883400,13.539600
Barbara,AN,43.580750,13.024619
Belforte all'Isauro,PU,43.717000,12.375731
Belforte del Chienti,MC,43.164169,13.237464
Belmonte Piceno,FM,43.091500,13.538881
Belvedere Ostrense,AN,43.580489,13.166550
Bolognola,MC,42.993400,13.228800
Borgo Pace,PU,43.657900,12.294150
Cagli,PU,43.547000,12.647300
Caldarola,MC,43.138169,13.225139
Camerano,AN,43.527740,13.552570
Camerata Picena,AN,43.578319,13.352761
Camerino,MC,43.133333,13.066667
Campofilone,FM,43.079169,13.814531
Camporotondo di F.,MC,43.132451,13.265977
Cantiano,PU,43.472581,12.628531
Carassai,AP,43.032183,13.683731
Carpegna,PU,43.781700,12.336650
Cartoceto,PU,43.764300,12.883200
Castel di Lama,AP,42.869553,13.713300
Castelbellino,AN,43.487778,13.145833
Castelfidardo,AN,43.464167,13.546111
Castelleone di Suasa,AN,43.607389,12.976369
Castelplanio,AN,43.494481,13.080939
Castelraimondo,MC,43.209100,13.054600
Castelsantangelo SN,MC,42.894492,13.153930
Castignano,AP,42.938139,13.621944
Castorano,AP,42.898347,13.727569
Cerreto d'Esi,AN,43.319739,12.984769
Cessapalombo,MC,43.109019,13.258369
Chiaravalle,AN,43.599669,13.325681
Cingoli,MC,43.374150,13.216356
Civitanova Marche,MC,43.306750,13.728600
Colli al Metauro,PU,43.742315,12.908919
Colli del Tronto,AP,42.878050,13.748200
Colmurano,MC,43.164000,13.357000
Comunanza,AP,42.957244,13.414569
Corinaldo,AN,43.648900,13.047900
Corridonia,MC,43.248219,13.507531
Cossignano,AP,42.983989,13.688081
Cupra Marittima,AP,43.024919,13.858889
Cupramontana,AN,43.445981,13.117369
Esanatoglia,MC,43.251350,12.945889
Fabriano,AN,43.338561,12.908519
Falconara Marittima,AN,43.629600,13.396800
Falerone,FM,43.107700,13.473300
Fano,PU,43.842500,13.013611
Fer,FM,43.154410,13.703278
Fermignano,PU,43.676617,12.645039
Fiastra,MC,43.035900,13.156200
Filottrano,AN,43.434419,13.350250
Fiuminata,MC,43.188489,12.931689
Folignano,AP,42.821000,13.632950
Force,AP,42.963331,13.491031
Fossombrone,PU,43.688956,12.806119
Francavilla d'Ete,FM,43.190986,13.540414
Fratte Rosa,PU,43.632100,12.901169
Frontino,PU,43.764531,12.377931
Frontone,PU,43.514439,12.738450
Gabicce Mare,PU,43.966839,12.756261
Gagliole,MC,43.239081,13.067800
Genga,AN,43.430481,12.935561
Gradara,PU,43.938866,12.771253
Grottammare,AP,42.989100,13.868069
Grottazzolina,FM,43.111031,13.600939
Gualdo,MC,43.066944,13.338056
Isola del Piano,PU,43.737239,12.783100
Jesi,AN,43.523775,13.246197
Lapedona,FM,43.109767,13.772756
Loreto,AN,43.440300,13.607431
Loro Piceno,MC,43.166261,13.416100
Lunano,PU,43.730350,12.440650
Macerata,MC,43.153000,13.150900
Macerata Feltria,PU,43.803331,12.441850
