name,province,latitude,longitude
Acquaviva delle Fonti,BA,40.900000,16.850000
Adelfia,BA,41.000000,16.866667
Alberobello,BA,40.784061,17.237461
Altamura,BA,40.816667,16.550000
Andria,BT,41.231667,16.308333
Avetrana,TA,40.353889,17.735833
Bari,BA,41.125278,16.866667
Barletta,BT,41.316667,16.283333
Binetto,BA,41.024167,16.710556
Bisceglie,BT,41.240933,16.502061
Bitetto,BA,41.033333,16.750000
Bitonto,BA,41.108333,16.691667
Bitritto,BA,41.050000,16.833333
Canosa di Puglia,BT,41.216667,16.066667
Capurso,BA,41.050000,16.916667
Carosino,TA,40.466667,17.400000
Casamassima,BA,40.950000,16.916667
Cassano delle Murge,BA,40.883333,16.766667
Castellana Grotte,BA,40.883772,17.167858
Castellaneta,TA,40.633333,16.933333
Cellamare,BA,41.020278,16.929167
Conversano,BA,40.966667,17.116667
Corato,BA,41.150000,16.400000
Crispiano,TA,40.600000,17.233333
Faggiano,TA,40.416160,17.388610
Fragagnano,TA,40.433333,17.466667
Ginosa,TA,40.500000,16.750000
Gioia del Colle,BA,40.800000,16.933333
Giovinazzo,BA,41.183333,16.666667
Gravina in Puglia,BA,40.820556,16.423333
Grottaglie,TA,40.533333,17.433333
Grumo Appula,BA,41.016667,16.700000
Laterza,TA,40.633333,16.800000
Leporano,TA,40.382180,17.334260
Lizzano,TA,40.391944,17.448333
Locorotondo,BA,40.750000,17.316667
Manduria,TA,40.402778,17.634167
Margherita di Savoia,BT,41.366667,16.150000
Martina Franca,TA,40.700000,17.333333
Maruggio,TA,40.322778,17.573611
Massafra,TA,40.583333,17.116667
Minervino Murge,BT,41.100000,16.083333
Modugno,BA,41.083333,16.783333
Mola di Bari,BA,41.066667,17.083333
Molfetta,BA,41.200000,16.600000
Monopoli,BA,40.950000,17.300000
Monteiasi,TA,40.500000,17.383333
Montemesola,TA,40.566667,17.333333
Monteparano,TA,40.450000,17.416667
Mottola,TA,40.633333,17.033333
Noci,BA,40.800000,17.133333
Noicattaro,BA,41.033333,16.983333
Palagianello,TA,40.616667,16.966667
Palagiano,TA,40.583333,17.050000
Palo del Colle,BA,41.050000,16.700000
Poggiorsini,BA,40.916667,16.250000
Polignano a Mare,BA,40.996111,17.220278
Pulsano,TA,40.384167,17.354722
Putignano,BA,40.849228,17.122544
Roccaforzata,TA,40.433333,17.400000
Rutigliano,BA,40.996877,17.006853
Ruvo di Puglia,BA,41.117289,16.483725
Sammichele di Bari,BA,40.883333,16.950000
San Ferdinando di P.,BT,41.302632,16.070465
San Giorgio Ionico,TA,40.450000,17.366667
San Marzano di San Giuseppe,TA,40.454400,17.505600
Sannicandro di Bari,BA,41.000000,16.800000
Santeramo in Colle,BA,40.800000,16.766667
Sava,TA,40.400278,17.566667
Spinazzola,BT,40.966667,16.083333
Statte,TA,40.566667,17.200000
Taranto,TA,40.471111,17.243056
Terlizzi,BA,41.133333,16.550000
Toritto,BA,41.000000,16.683333
Torricella,TA,40.350000,17.500000
Trani,BT,41.266667,16.416667
Triggiano,BA,41.066667,16.916667
Trinitapoli,BT,41.350000,16.100000
Turi,BA,40.916667,17.016667
Valenzano,BA,41.050000,16.883333
