name,province,latitude,longitude
Ala,TN,45.760720,11.004580
Albiano,TN,46.150000,11.200000
Aldeno,TN,45.973826,11.093711
Aldino,BZ,46.366667,11.350000
Altavalle,TN,46.183333,11.233333
Altopiano della V.,TN,45.999841,11.196016
Amblar-Don,TN,46.400000,11.150000
Andalo,TN,46.166667,11.004444
Andriano,BZ,46.517910,11.231410
Anterivo,BZ,46.278100,11.366650
Appiano sulla Strada del Vino,BZ,46.461900,11.260900
Arco,TN,45.916667,10.883333
Avelengo,BZ,46.644615,11.224384
Avio,TN,45.733960,10.939380
Badia,BZ,46.610124,11.893487
Barbiano,BZ,46.602690,11.519560
Baselga di Pinè,TN,46.129764,11.244633
Bedollo,TN,46.166667,11.300000
Besenello,TN,45.941944,11.108611
Bieno,TN,46.080410,11.553960
Bleggio Superiore,TN,46.022570,10.823680
Bocenago,TN,46.118474,10.771860
Bolzano,BZ,46.498113,11.354780
Bondone,TN,45.806490,10.550270
Borgo Chiese,TN,45.890600,10.601300
Borgo d'Anaunia,TN,46.438853,11.137331
Borgo Lares,TN,46.035278,10.752222
Borgo Valsugana,TN,46.050000,11.450000
Braies,BZ,46.720352,12.132884
Brennero,BZ,46.938906,11.445172
Brentonico,TN,45.816667,10.950000
Bresimo,TN,46.411815,10.970899
Bressanone,BZ,46.716549,11.657851
Bronzolo,BZ,46.404460,11.319510
Brunico,BZ,46.796319,11.935512
Caderzone Terme,TN,46.133333,10.750000
Caines,BZ,46.699480,11.169487
Calceranica al Lago,TN,46.003611,11.242500
Caldaro sulla Strada del Vino,BZ,46.413500,11.246900
Caldes,TN,46.366667,10.950000
Caldonazzo,TN,46.000000,11.266667
Calliano,TN,45.939102,11.115404
Campitello di Fassa,TN,46.476168,11.741525
Campo di Trens,BZ,46.876138,11.485606
Campo Tures,BZ,46.919236,11.955182
Campodenno,TN,46.250000,11.033333
Canal San Bovo,TN,46.156389,11.733611
Canazei,TN,46.476881,11.771075
Capriana,TN,46.266667,11.333333
Carisolo,TN,46.169100,10.763769
Carzano,TN,46.070910,11.493790
Castel Condino,TN,45.916667,10.600000
Castel Ivano,TN,46.066360,11.523570
Castelbello-Ciardes,BZ,46.628306,10.901760
Castello Tesino,TN,46.063430,11.633310
Castello-Molina di F.,TN,46.281124,11.435125
Castelnuovo,TN,46.051920,11.494210
Castelrotto,BZ,46.567843,11.559685
Cavalese,TN,46.291111,11.460556
Cavareno,TN,46.408412,11.138073
Cavedago,TN,46.183333,11.033333
Cavedine,TN,46.000000,10.966667
Cavizzana,TN,46.367501,10.957923
Cembra Lisignago,TN,46.183333,11.216667
Cermes,BZ,46.634619,11.146564
Chienes,BZ,46.809381,11.840872
Chiusa,BZ,46.639924,11.566350
Cimone,TN,45.979020,11.069900
Cinte Tesino,TN,46.056110,11.615470
Cis,TN,46.399693,11.001587
Civezzano,TN,46.100147,11.181635
Cles,TN,46.366667,11.033333
Comano Terme,TN,46.056344,10.865209
Commezzadura,TN,46.316667,10.833333
Contà,TN,46.298140,11.026710
Cornedo all'Isarco,BZ,46.490028,11.408303
Cortaccia sulla Strada del Vino,BZ,46.313500,11.223500
Cortina sulla Strada del Vino,BZ,46.268700,11.222700
Corvara in Badia,BZ,46.549574,11.874034
